9.997782707214355469e-01,6.273993849754333496e-02,2.147704362869262695e-03,-7.420735061168670654e-02,-7.920717820525169373e-03,-8.724407106637954712e-02,-2.102420851588249207e-02,9.982246160507202148e-02,-2.894122898578643799e-02,-1.079868078231811523e-01
-4.853039979934692383e-03,9.989626407623291016e-01,1.245110780000686646e-01,-7.117107510566711426e-03,-1.318050324916839600e-01,-2.087161317467689514e-02,-1.656984537839889526e-01,4.388126358389854431e-02,-1.540201902389526367e-01,-6.701976060867309570e-02
7.763504981994628906e-06,-1.329544186592102051e-02,9.952906370162963867e-01,-1.812897622585296631e-01,-1.089993119239807129e-02,-1.696464270353317261e-01,-3.434918820858001709e-02,1.903738379478454590e-01,-4.991236329078674316e-02,-2.050100415945053101e-01
1.286417245864868164e-04,-1.623034477233886719e-04,3.922228515148162842e-02,9.898489713668823242e-01,2.208712697029113770e-01,1.751573383808135986e-02,2.139287739992141724e-01,-4.440924525260925293e-02,1.940732151269912720e-01,7.284523546695709229e-02
-4.898756742477416992e-07,7.445160299539566040e-04,-5.643740296363830566e-04,-5.410084128379821777e-02,9.802427291870117188e-01,2.838375568389892578e-01,2.721950411796569824e-02,-2.256432771682739258e-01,4.486375302076339722e-02,2.363237738609313965e-01
1.112371683120727539e-05,-3.615021705627441406e-05,2.822904847562313080e-03,1.345798373222351074e-03,-8.918114006519317627e-02,9.702141880989074707e-01,3.335077762603759766e-01,-3.280574083328247070e-02,2.287261933088302612e-01,6.297978758811950684e-02
5.289912223815917969e-07,8.011609315872192383e-05,-1.503657549619674683e-04,-4.514716565608978271e-03,2.331286668777465820e-03,-9.148997068405151367e-02,9.591767787933349609e-01,-3.808381557464599609e-01,3.028315305709838867e-02,2.996504306793212891e-01
-8.046627044677734375e-07,5.705282092094421387e-06,-2.534501254558563232e-04,-2.717012539505958557e-04,5.678867921233177185e-03,-2.624362707138061523e-03,1.112126260995864868e-01,9.415451288223266602e-01,-3.959120810031890869e-01,-4.067742824554443359e-02
6.295740604400634766e-07,8.421018719673156738e-06,-2.296734601259231567e-05,-4.594512283802032471e-04,4.266388714313507080e-04,-7.046985439956188202e-03,3.384441137313842773e-03,1.523001492023468018e-01,9.135175943374633789e-01,4.586212038993835449e-01
3.650784492492675781e-07,-1.691281795501708984e-06,4.787603393197059631e-05,7.618218660354614258e-05,-1.023933291435241699e-03,8.641928434371948242e-04,-1.504004187881946564e-02,-6.984844803810119629e-03,-2.048358172178268433e-01,8.944960236549377441e-01
